src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,85,0,15,0,0,1000.0
99,16,15,15,0,0,1000.0
99,12,30,15,0,0,1000.0
99,11,45,15,0,0,1000.0
98,34,0,15,0,0,1000.0
96,75,0,15,0,0,1000.0
96,48,15,15,0,0,1000.0
95,87,0,15,0,0,1000.0
95,12,15,15,0,0,1000.0
94,49,0,15,0,0,1000.0
93,80,0,15,0,0,1000.0
92,38,0,15,0,0,1000.0
92,17,15,15,0,0,1000.0
91,57,0,15,0,0,1000.0
91,20,15,15,0,0,1000.0
90,73,0,15,0,0,1000.0
90,33,15,15,0,0,1000.0
89,52,0,15,0,0,1000.0
89,15,15,15,0,0,1000.0
87,59,15,15,0,0,1000.0
87,25,30,15,0,0,1000.0
85,20,30,15,0,0,1000.0
84,21,0,15,0,0,1000.0
83,50,0,15,0,0,1000.0
83,30,15,15,0,0,1000.0
83,28,30,15,0,0,1000.0
83,27,45,15,0,0,1000.0
81,93,15,15,0,0,1000.0
81,88,0,15,0,0,1000.0
81,14,30,15,0,0,1000.0
80,5,15,15,0,0,1000.0
79,86,0,15,0,0,1000.0
78,66,0,15,0,0,1000.0
78,12,45,15,0,0,1000.0
77,78,15,15,0,0,1000.0
77,42,0,15,0,0,1000.0
76,63,0,15,0,0,1000.0
76,6,15,15,0,0,1000.0
73,37,15,15,0,0,1000.0
71,63,15,15,0,0,1000.0
71,53,0,15,0,0,1000.0
71,45,30,15,0,0,1000.0
68,83,60,15,0,0,1000.0
68,31,0,15,0,0,1000.0
67,82,0,15,0,0,1000.0
67,44,15,15,0,0,1000.0
66,77,30,15,0,0,1000.0
66,39,15,15,0,0,1000.0
64,28,0,15,0,0,1000.0
63,18,30,15,0,0,1000.0
62,10,0,15,0,0,1000.0
61,46,0,15,0,0,1000.0
61,22,15,15,0,0,1000.0
61,6,30,15,0,0,1000.0
58,60,0,15,0,0,1000.0
57,40,15,15,0,0,1000.0
56,57,30,15,0,0,1000.0
56,44,0,15,0,0,1000.0
55,4,0,15,0,0,1000.0
54,64,15,15,0,0,1000.0
54,26,0,15,0,0,1000.0
54,20,45,15,0,0,1000.0
53,91,30,15,0,0,1000.0
53,9,15,15,0,0,1000.0
52,82,15,15,0,0,1000.0
51,93,30,15,0,0,1000.0
51,50,15,15,0,0,1000.0
51,18,0,15,0,0,1000.0
46,76,30,15,0,0,1000.0
44,22,30,15,0,0,1000.0
42,93,45,15,0,0,1000.0
40,91,45,15,0,0,1000.0
40,79,30,15,0,0,1000.0
39,36,0,15,0,0,1000.0
39,26,30,15,0,0,1000.0
38,79,15,15,0,0,1000.0
38,33,30,15,0,0,1000.0
38,19,45,15,0,0,1000.0
37,46,45,15,0,0,1000.0
36,82,30,15,0,0,1000.0
36,30,45,15,0,0,1000.0
35,14,0,15,0,0,1000.0
35,8,15,15,0,0,1000.0
35,5,30,15,0,0,1000.0
34,48,30,15,0,0,1000.0
34,24,15,15,0,0,1000.0
33,89,45,15,0,0,1000.0
33,85,60,15,0,0,1000.0
32,60,15,15,0,0,1000.0
30,12,0,15,0,0,1000.0
29,10,15,15,0,0,1000.0
28,76,45,15,0,0,1000.0
26,98,15,15,0,0,1000.0
25,73,45,15,0,0,1000.0
25,67,60,15,0,0,1000.0
25,62,15,15,0,0,1000.0
24,88,30,15,0,0,1000.0
24,53,45,15,0,0,1000.0
24,7,0,15,0,0,1000.0
22,85,45,15,0,0,1000.0
22,62,60,15,0,0,1000.0
20,43,0,15,0,0,1000.0
15,78,30,15,0,0,1000.0
14,70,15,15,0,0,1000.0
13,91,60,15,0,0,1000.0
13,37,0,15,0,0,1000.0
